,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
966,489.4453883,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,9,93,1,3.512850038,0.1624253552,215.2884734,7.337378404,388.3528555,8.548841576,2.13848,41.36623
967,254.6140061,Private room,FALSE,TRUE,2,FALSE,0,1,10,96,1,1.78655757,0.2953888977,356.2969132,12.14317346,781.9709059,17.2135863,2.16174,41.3723
968,416.3660484,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,9,80,3,1.695373292,0.3639768703,361.653216,12.32572489,833.7364416,18.35310506,2.16364,41.37264
969,127.307003,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,4.23640942,0.391965588,174.591081,5.950345631,318.414675,7.009286976,2.13475,41.35974
970,138.9438406,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,4.3033277,0.2980003187,171.9572802,5.860581454,313.1806744,6.894070514,2.13357,41.35977
971,275.5603137,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,1,3.953701727,0.4165327461,280.3782723,9.55574373,372.719429,8.204701745,2.1243,41.37803
972,133.1254218,Private room,FALSE,TRUE,2,FALSE,1,0,7,73,2,4.005838348,0.3538743344,224.0153777,7.634805378,359.1201561,7.905339894,2.12477,41.37527
973,269.7418949,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,95,1,3.372258553,0.09686630422,246.811057,8.411718894,455.252575,10.0215103,2.12985,41.38435
974,150.5806782,Private room,FALSE,TRUE,2,FALSE,0,1,10,97,1,4.665392785,1.060273824,154.1543605,5.253829236,279.7696141,6.158590248,2.14324,41.35027
975,439.4069868,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,100,2,3.394651444,0.163649625,253.2268101,8.630378108,442.3213103,9.736853364,2.12986,41.38261
976,229.2457002,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,3.370365498,0.09663961527,246.6815148,8.407303886,455.8246143,10.03410265,2.12987,41.38437
977,134.2891056,Private room,FALSE,TRUE,2,FALSE,1,0,10,96,1,3.308089138,0.1241368825,229.709473,7.82886933,416.6755608,9.172311489,2.13906,41.36858
978,439.6397235,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,8,100,2,1.7835044,0.4267821911,357.4078851,12.18103717,764.2981215,16.82455392,2.16621,41.37133
979,115.6701655,Private room,FALSE,TRUE,2,FALSE,0,0,9,92,1,3.083745974,0.1702054081,247.0883843,8.421170655,485.6209108,10.69001083,2.1338,41.38187
980,329.7879768,Entire home/apt,FALSE,FALSE,2,TRUE,0,1,10,92,1,2.877765537,0.4842408842,279.395243,9.522240505,484.8582287,10.67322185,2.14418,41.37001
981,416.3660484,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,100,2,2.895900738,0.4646293684,275.7864694,9.399247682,482.8512491,10.62904206,2.14388,41.37002
982,248.5628506,Private room,FALSE,TRUE,3,FALSE,1,0,10,88,1,2.608664208,0.4128186737,329.0056765,11.21304409,544.3914238,11.9837307,2.14675,41.37148
983,111.0154304,Private room,FALSE,TRUE,3,FALSE,0,0,8,85,1,3.891276602,0.5688112598,214.0245007,7.294300176,364.3557613,8.020591677,2.12696,41.37383
984,179.4400354,Private room,FALSE,TRUE,2,FALSE,1,0,8,90,1,2.737277277,0.3560874573,287.2512742,9.789986721,523.2835646,11.51908176,2.14408,41.37209
